number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
140,0.9298865553641014,2024-06-07 17:33:22.793739,2024-06-07 17:33:24.815725,0 days 00:00:02.021986,0.0013509718584353888,0.0833486234328694,10,5,131,COMPLETE
141,0.9357402299677983,2024-06-07 17:33:22.899455,2024-06-07 17:33:26.316411,0 days 00:00:03.416956,0.0007753935193606334,0.04030025204219882,10,5,202,COMPLETE
142,0.9333455584855564,2024-06-07 17:33:23.358807,2024-06-07 17:33:25.736959,0 days 00:00:02.378152,0.0010510558257705387,0.07072366545025159,10,5,191,COMPLETE
143,0.9231842747859658,2024-06-07 17:33:23.593179,2024-06-07 17:33:25.264525,0 days 00:00:01.671346,0.0017914059588590328,0.07285258832885219,6,5,191,COMPLETE
144,0.9394555979842697,2024-06-07 17:33:23.953942,2024-06-07 17:33:25.680111,0 days 00:00:01.726169,0.0003082387501849236,0.1268912751263544,10,5,158,COMPLETE
145,0.9360374809301877,2024-06-07 17:33:24.037718,2024-06-07 17:33:25.694074,0 days 00:00:01.656356,0.0005718779124004066,0.12784458179694436,10,5,160,COMPLETE
146,0.870834067418077,2024-06-07 17:33:24.817720,2024-06-07 17:33:26.119935,0 days 00:00:01.302215,0.022030720994403535,0.07290682902873702,10,5,193,COMPLETE
147,0.8685258434223958,2024-06-07 17:33:25.267517,2024-06-07 17:33:26.548789,0 days 00:00:01.281272,0.022720581221738687,0.08780981472618894,10,2,182,COMPLETE
148,0.8722853929535148,2024-06-07 17:33:25.515853,2024-06-07 17:33:26.768860,0 days 00:00:01.253007,0.020838930593800493,0.08858922346966255,10,5,202,COMPLETE
149,0.8722472982006646,2024-06-07 17:33:25.682106,2024-06-07 17:33:26.939405,0 days 00:00:01.257299,0.020994014341673306,0.08852185902500151,10,5,160,COMPLETE
150,0.9395737755059833,2024-06-07 17:33:25.697066,2024-06-07 17:33:27.521846,0 days 00:00:01.824780,0.00036956712986880756,0.12871866977925855,10,5,159,COMPLETE
151,0.8729519697241435,2024-06-07 17:33:25.738955,2024-06-07 17:33:27.004230,0 days 00:00:01.265275,0.020349568687099504,0.1372548983887719,10,5,182,COMPLETE
152,0.873511742488281,2024-06-07 17:33:26.002250,2024-06-07 17:33:27.207686,0 days 00:00:01.205436,0.020930191987285,0.12715757284289275,10,5,188,COMPLETE
153,0.8757626130099488,2024-06-07 17:33:26.121930,2024-06-07 17:33:27.260545,0 days 00:00:01.138615,0.019113516962741616,0.12991781251880505,10,5,159,COMPLETE
154,0.8748105146237329,2024-06-07 17:33:26.319401,2024-06-07 17:33:28.147137,0 days 00:00:01.827736,0.019180707603983917,0.022916341479654777,10,5,161,COMPLETE
155,0.8819592531462473,2024-06-07 17:33:26.551782,2024-06-07 17:33:27.710306,0 days 00:00:01.158524,0.015563559213607317,0.12753275216333002,10,5,161,COMPLETE
156,0.8806088002891075,2024-06-07 17:33:26.770855,2024-06-07 17:33:27.900796,0 days 00:00:01.129941,0.015980186337166663,0.1273992750877742,10,5,162,COMPLETE
